key,text
bio_102073,Nhung cuoi cung khong phai doi thu cua Vien Thieu nen thua tran va chet
bio_1020E9,[loi extract]
bio_1020F1,Nhung vi Luu Bi roi di va loan su o bien gioi Tay Luong
bio_1021ED,Dong Trac
bio_1021F8,Nhung sau do bi su thong minh va muu luoc cua ong lam say me
bio_102259,Khi giao chien voi Quan Vu thi thua tran dau hang
bio_1022AC,Vuong Lang
bio_1022B1,Sau duoc Tao Thao trong dung roi chuyen sang phuc vu ong
bio_1022F9,Kien quyet khuyen Ma Ung phai dong quan o vi tri chan duong
bio_10238D,Cuoi cung khien Lu Bo giet Dong Trac
bio_1023E1,Tung dua ra loi khuyen dung dan cho Quan Vu
bio_102457,[loi extract]
bio_10245D,Khi Tao Thao nam xuong thi dau hang phuc vu ong
bio_1024A9,Cung Nhan Luong la mot trong nhung tuong hung manh tieng tam
bio_1024F5,[loi extract]
bio_1024FD,Tao Thao trung ke giet Thai Muu va Truong Van
bio_10255E,[loi extract]
bio_102565,Sau bi Vien Dam tan cong roi dau hang Tao Thao
bio_1025D9,Cung Tao Hong va Tao Nhan giu quan Ngo
bio_10262B,[loi extract]
bio_102633,Cuoi cung ket thuc thoi loan lac Tam Quoc
bio_102693,Tu Ma Chieu
bio_10269B,Ke thua quyen luc tuong quan
bio_102711,Tu Ma Su
bio_10271B,Nam quyen thuc te cua nha Nguoi
bio_10276F,Dien Phong
bio_102775,Lai manh me chu truong khang chien lau dai voi Tao Thao
bio_1027E9,Khi biet Thai Muu dinh am sat Luu Bi
bio_102889,Theo lenh Gia Cat Luong pho tro Quan Vu tri Kinh Chau
bio_1028BD,Gia Cat Luong trong Bieu chinh tac ca nang tai cua Huong Sung
bio_102909,Ton Quyen rat danh gia cam dan va muu luoc cua ong
bio_102971,[loi extract]
bio_102979,Mot trong nhung than cung co cong diet Tac Khuong
bio_1029C9,Tung dich thu voi Luc Kang con cua Luc Ton o Tuong Duong
bio_102A55,Khong may thua tran va bi giet
bio_102AAD,Tung danh bai Tao Tu khi Tao Phi chinh Ngo
